"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"63","Metropolitan Opera","Metropolitan Opera House",NA,"former opera house, the former home of the Metropolitan Opera Company in New York City, United States","http://www.wikidata.org/entity/Q6825160",FALSE,NA,FALSE,NA,19,"Q6825160",TRUE
"64","one hundred years","One Hundred Years of Solitude",NA,"novel by Gabriel García Márquez","http://www.wikidata.org/entity/Q178869",FALSE,NA,FALSE,NA,18,"Q178869",TRUE
"65","world federation","World Federation of Trade Unions",NA,"international organization","http://www.wikidata.org/entity/Q748999",FALSE,NA,FALSE,NA,17,"Q748999",TRUE
"66","seven years","Seven Years' War",NA,"global conflict between 1756 and 1763","http://www.wikidata.org/entity/Q33143",FALSE,NA,FALSE,NA,16,"Q33143",TRUE
"67","US citizenship","United States Citizenship and Immigration Services","US Citizenship and Immigration Services","immigration benefits agency of the United States government","http://www.wikidata.org/entity/Q2097315",FALSE,NA,FALSE,NA,16,"Q2097315",TRUE
"68","mad scientists","David Willey","Mad Scientist","Physicist and entertainer","http://www.wikidata.org/entity/Q5241104",FALSE,NA,FALSE,NA,15,"Q5241104",TRUE
"69","S. Bell","Stefano Bellucci","S. Bellucci","university lecturer, Faculty of Humanities, Leiden University; country specialization: Horn of Africa, Eastern Africa, Libya","http://www.wikidata.org/entity/Q39993588",FALSE,NA,FALSE,NA,15,"Q39993588",TRUE
"70","Universal Studios","Universal Studios",NA,"American motion picture studio","http://www.wikidata.org/entity/Q168383",FALSE,NA,FALSE,NA,15,"Q168383",TRUE
"71","Barbara Wolff","Barbara Wolff",NA,"German politician","http://www.wikidata.org/entity/Q807694",FALSE,NA,FALSE,NA,14,"Q807694",TRUE
"72","Berlin University","Berlin University of the Arts",NA,"public art school in Berlin, Germany","http://www.wikidata.org/entity/Q55038",FALSE,NA,FALSE,NA,14,"Q55038",TRUE
"73","Far East","Far Eastern Republic",NA,"former country","http://www.wikidata.org/entity/Q61292",FALSE,NA,FALSE,NA,14,"Q61292",TRUE
"74","Physical cosmology","cosmology","physical cosmology","academic study of the Universe","http://www.wikidata.org/entity/Q338",FALSE,NA,FALSE,NA,14,"Q338",TRUE
"75","War I","Iraq War","War in Iraq","war which started on 20 March 2003","http://www.wikidata.org/entity/Q545449",FALSE,NA,FALSE,NA,14,"Q545449",TRUE
"76","civil rights","civil and political rights","civil rights","rights preventing the infringement of personal freedom by other social actors","http://www.wikidata.org/entity/Q191600",FALSE,NA,FALSE,NA,13,"Q191600",TRUE
"77","elementary particles","elementary particle",NA,"quantum particle having no known substructure; quark, electron, photon, etc.","http://www.wikidata.org/entity/Q43116",FALSE,NA,FALSE,NA,13,"Q43116",TRUE
"78","Elementary Particles","elementary particle",NA,"quantum particle having no known substructure; quark, electron, photon, etc.","http://www.wikidata.org/entity/Q43116",FALSE,NA,FALSE,NA,13,"Q43116",TRUE
"79","federal district","Federal District",NA,"federal district of Brazil","http://www.wikidata.org/entity/Q119158",FALSE,NA,FALSE,NA,13,"Q119158",TRUE
"80","Newtonian mechanics","Newton's laws of motion","Newtonian mechanics","classical formulation of Mechanics by Isaac Newton","http://www.wikidata.org/entity/Q38433",FALSE,NA,FALSE,NA,13,"Q38433",TRUE
"81","political figures","politician","political figure","person involved in politics, person who holds or seeks positions in government","http://www.wikidata.org/entity/Q82955",FALSE,NA,FALSE,NA,13,"Q82955",TRUE
"82","U.S. Patent","United States Patent and Trademark Office","U.S. Patent Office","agency in the United States Department of Commerce","http://www.wikidata.org/entity/Q1459541",FALSE,NA,FALSE,NA,13,"Q1459541",TRUE
"83","UNESCO headquarters","World Heritage Centre","UNESCO headquarters","building at number 7 Place de Fontenoy in Paris, France; headquarters for UNESCO","http://www.wikidata.org/entity/Q3279650",FALSE,NA,FALSE,NA,13,"Q3279650",TRUE
"84","weak nuclear forces","weak interaction","weak nuclear force","the fundamental interaction responsible for beta decay and nuclear fission","http://www.wikidata.org/entity/Q11418",FALSE,NA,FALSE,NA,13,"Q11418",TRUE
"85","Chemical Institute","Chemical Institute of Sarrià",NA,NA,"http://www.wikidata.org/entity/Q9008733",FALSE,NA,FALSE,NA,12,"Q9008733",TRUE
"86","Intellectual Property","intellectual property",NA,"legal concept","http://www.wikidata.org/entity/Q131257",FALSE,NA,FALSE,NA,12,"Q131257",TRUE
"87","Ramón y","Ramón Yuraszeck Doggenweiler",NA,"Chilean politician","http://www.wikidata.org/entity/Q16624325",FALSE,NA,FALSE,NA,12,"Q16624325",TRUE
"88","book burnings","book burning",NA,"practice of destroying, often ceremoniously, books or other written material","http://www.wikidata.org/entity/Q22702",FALSE,NA,FALSE,NA,11,"Q22702",TRUE
"89","book burnings","book burning","book burnings","practice of destroying, often ceremoniously, books or other written material","http://www.wikidata.org/entity/Q22702",FALSE,NA,FALSE,NA,11,"Q22702",TRUE
"90","classical mechanics","classical mechanics",NA,"sub-field of mechanics, which is concerned with the set of physical laws describing the motion of bodies under the action of a system of forces","http://www.wikidata.org/entity/Q11397",FALSE,NA,FALSE,NA,11,"Q11397",TRUE
"91","elementary school","primary school","elementary school","school in which children receive primary or elementary education from the age of about five to twelve","http://www.wikidata.org/entity/Q9842",FALSE,NA,FALSE,NA,11,"Q9842",TRUE
"92","information theory","information theory",NA,"mathematical theory from the field of probability theory and statistics","http://www.wikidata.org/entity/Q131222",FALSE,NA,FALSE,NA,11,"Q131222",TRUE
"93","Lincoln University","Lincoln University",NA,"New Zealand university","http://www.wikidata.org/entity/Q1048626",FALSE,NA,FALSE,NA,11,"Q1048626",TRUE
"94","Magnetic Field","magnetic field",NA,"spatial distribution of vectors allowing the calculation of the magnetic force on a test particle","http://www.wikidata.org/entity/Q11408",FALSE,NA,FALSE,NA,11,"Q11408",TRUE
"95","Pure Reason","Pure Reason Revolution",NA,"band","http://www.wikidata.org/entity/Q729904",FALSE,NA,FALSE,NA,11,"Q729904",TRUE
"96","thought experiments","thought experiment",NA,"considering hypothesis, theory, or principle for the purpose of thinking through its consequences","http://www.wikidata.org/entity/Q147027",FALSE,NA,FALSE,NA,11,"Q147027",TRUE
"97","thought experiments","thought experiment","thought experiments","considering hypothesis, theory, or principle for the purpose of thinking through its consequences","http://www.wikidata.org/entity/Q147027",FALSE,NA,FALSE,NA,11,"Q147027",TRUE
"98","twenty years","Twenty Years After",NA,"novel by Alexandre Dumas; sequel to The Three Musketeers","http://www.wikidata.org/entity/Q1639633",FALSE,NA,FALSE,NA,11,"Q1639633",TRUE
"99","associate professor","Abdul Hafiz Ab Majid","Associate Professor Dr. Abdul Hafiz Ab Majid","researcher","http://www.wikidata.org/entity/Q47698577",FALSE,NA,FALSE,NA,10,"Q47698577",TRUE
"100","atomic bomb","atomic bomb",NA,"explosive device","http://www.wikidata.org/entity/Q650051",FALSE,NA,FALSE,NA,10,"Q650051",TRUE
"101","atomic bombs","atomic bomb",NA,"explosive device","http://www.wikidata.org/entity/Q650051",FALSE,NA,FALSE,NA,10,"Q650051",TRUE
"102","Beit Hatfutsot","Beit Hatfutsot",NA,"museum in Israel","http://www.wikidata.org/entity/Q796764",FALSE,NA,FALSE,NA,10,"Q796764",TRUE
"103","Digital Library","digital library",NA,"library in which collections are stored in electronic media formats and accessible via computers","http://www.wikidata.org/entity/Q212805",FALSE,NA,FALSE,NA,10,"Q212805",TRUE
"104","Federal Office","German Domestic Intelligence Service","Federal Office for the Protection of the Constitution","domestic security agency of Germany","http://www.wikidata.org/entity/Q310522",FALSE,NA,FALSE,NA,10,"Q310522",TRUE
"105","internal bleeding","Internal Bleeding",NA,"US death metal musical group","http://www.wikidata.org/entity/Q1666276",FALSE,NA,FALSE,NA,10,"Q1666276",TRUE
"106","military service","military service",NA,"performing the service in the armed forces of a state","http://www.wikidata.org/entity/Q209572",FALSE,NA,FALSE,NA,10,"Q209572",TRUE
"107","wave equation","wave equation",NA,"second-order linear differential equation important in physics","http://www.wikidata.org/entity/Q193846",FALSE,NA,FALSE,NA,10,"Q193846",TRUE
"108","York City","York City F.C.",NA,"association football club in York, England","http://www.wikidata.org/entity/Q48954",FALSE,NA,FALSE,NA,10,"Q48954",TRUE
"109","academic freedom","academic freedom",NA,"liberty","http://www.wikidata.org/entity/Q414706",FALSE,NA,FALSE,NA,9,"Q414706",TRUE
"110","angular momentum","angular momentum",NA,"measure of the extent to which an object will continue to rotate in the absence of an applied torque","http://www.wikidata.org/entity/Q161254",FALSE,NA,FALSE,NA,9,"Q161254",TRUE
"111","Commander Oliver","Commander Oliver Lascelles",NA,"(1921-1999)","http://www.wikidata.org/entity/Q75266133",FALSE,NA,FALSE,NA,9,"Q75266133",TRUE
"112","full professor","Richard Chbeir","Full Professor","Researcher","http://www.wikidata.org/entity/Q62056198",FALSE,NA,FALSE,NA,9,"Q62056198",TRUE
"113","liberal party","Liberal Party",NA,"Norwegian political party","http://www.wikidata.org/entity/Q500190",FALSE,NA,FALSE,NA,9,"Q500190",TRUE
"114","low temperatures","cold","low temperature","state of low tempature","http://www.wikidata.org/entity/Q270952",FALSE,NA,FALSE,NA,9,"Q270952",TRUE
"115","Physical Society","Physical Society of Japan",NA,NA,"http://www.wikidata.org/entity/Q385221",FALSE,NA,FALSE,NA,9,"Q385221",TRUE
"116","Prime Minister","prime minister",NA,"most senior minister of cabinet in the executive branch of government in a parliamentary system","http://www.wikidata.org/entity/Q14212",FALSE,NA,FALSE,NA,9,"Q14212",TRUE
"117","public domain","public domain",NA,"works that are no longer in copyright term or were never protected by copyright law","http://www.wikidata.org/entity/Q19652",FALSE,NA,FALSE,NA,9,"Q19652",TRUE
"118","Royal Family","House of Saud","Royal family of the Arabian Kingdom","the royal family of Saudi Arabia","http://www.wikidata.org/entity/Q31711",FALSE,NA,FALSE,NA,9,"Q31711",TRUE
"119","British universities","British University in Egypt",NA,"private university in Egypt","http://www.wikidata.org/entity/Q3087723",FALSE,NA,FALSE,NA,8,"Q3087723",TRUE
"120","Euclidean geometry","Euclidean geometry",NA,"mathematical system attributed to Euclid","http://www.wikidata.org/entity/Q162886",FALSE,NA,FALSE,NA,8,"Q162886",TRUE
"121","general public","GNU General Public License","General Public Licence","set of free software licenses","http://www.wikidata.org/entity/Q7603",FALSE,NA,FALSE,NA,8,"Q7603",TRUE
"122","high speeds","high speed train",NA,"type of train","http://www.wikidata.org/entity/Q13402959",FALSE,NA,FALSE,NA,8,"Q13402959",TRUE
"123","his name","His Name Is Alive",NA,NA,"http://www.wikidata.org/entity/Q3136462",FALSE,NA,FALSE,NA,8,"Q3136462",TRUE
"124","Indian people","Indians","Indian people","nationals or citizens of India","http://www.wikidata.org/entity/Q862086",FALSE,NA,FALSE,NA,8,"Q862086",TRUE
"125","Kaiser Wilhelm Institute","Kaiser Wilhelm Institute of Anthropology, Human Heredity, and Eugenics",NA,NA,"http://www.wikidata.org/entity/Q881143",FALSE,NA,FALSE,NA,8,"Q881143",TRUE
"126","New York Society","New York Society Library",NA,"oldest cultural institution in New York City","http://www.wikidata.org/entity/Q7013996",FALSE,NA,FALSE,NA,8,"Q7013996",TRUE
"127","Oriental Studies","Oriental studies",NA,"academic field focus on Asian cultures","http://www.wikidata.org/entity/Q476294",FALSE,NA,FALSE,NA,8,"Q476294",TRUE
"128","polytechnic school","Polytechnic School of the University of São Paulo",NA,NA,"http://www.wikidata.org/entity/Q2600751",FALSE,NA,FALSE,NA,8,"Q2600751",TRUE
"129","popular culture","popular culture",NA,"culture aimed at wider audiences","http://www.wikidata.org/entity/Q131265",FALSE,NA,FALSE,NA,8,"Q131265",TRUE
"130","role model","Johan Kotlinski","Role Model","chip musician, creator of LSDJ","http://www.wikidata.org/entity/Q64692695",FALSE,NA,FALSE,NA,8,"Q64692695",TRUE
"131","special guests","WWE Raw","Special Guest Host","WWE television show","http://www.wikidata.org/entity/Q18754",FALSE,NA,FALSE,NA,8,"Q18754",TRUE
"132","discussion group","Internet forum","discussion group","online discussion site","http://www.wikidata.org/entity/Q168210",FALSE,NA,FALSE,NA,7,"Q168210",TRUE
"133","entrance examinations","entrance examination",NA,"type of exams for a attending  an educational institution","http://www.wikidata.org/entity/Q759860",FALSE,NA,FALSE,NA,7,"Q759860",TRUE
"134","field theory","field theory",NA,"theory in mathematics","http://www.wikidata.org/entity/Q903820",FALSE,NA,FALSE,NA,7,"Q903820",TRUE
"135","fundamental forces","fundamental interaction","fundamental force","any of the physical interactions or forces: gravitational, electromagnetic, strong nuclear, and weak nuclear","http://www.wikidata.org/entity/Q104934",FALSE,NA,FALSE,NA,7,"Q104934",TRUE
"136","Imperial Palace","Imperial Palace of Goslar",NA,"Palace of the Holy Roman Empire","http://www.wikidata.org/entity/Q632379",FALSE,NA,FALSE,NA,7,"Q632379",TRUE
"137","Oval Office","Oval Office",NA,"office of the U.S. President","http://www.wikidata.org/entity/Q338067",FALSE,NA,FALSE,NA,7,"Q338067",TRUE
"138","physical interactions","fundamental interaction","physical interaction","any of the physical interactions or forces: gravitational, electromagnetic, strong nuclear, and weak nuclear","http://www.wikidata.org/entity/Q104934",FALSE,NA,FALSE,NA,7,"Q104934",TRUE
"139","social life","social relation","social life","relationship between two people or groups in which their thinking, acting or feeling is related mutually","http://www.wikidata.org/entity/Q853725",FALSE,NA,FALSE,NA,7,"Q853725",TRUE
"140","thirteen years","Thirteen Years' War",NA,"conflict","http://www.wikidata.org/entity/Q315921",FALSE,NA,FALSE,NA,7,"Q315921",TRUE
"141","violin sonatas","Violin Sonata",NA,"Composition for violin and piano by César Franck","http://www.wikidata.org/entity/Q2181451",FALSE,NA,FALSE,NA,7,"Q2181451",TRUE
"142","Zionist Organization","Zionist Organization of America",NA,"non-profit organisation in the USA","http://www.wikidata.org/entity/Q205366",FALSE,NA,FALSE,NA,7,"Q205366",TRUE
"143","alma mater","alma mater",NA,"school or university that a person has attended","http://www.wikidata.org/entity/Q174376",FALSE,NA,FALSE,NA,6,"Q174376",TRUE
"144","analytical mechanics","analytical mechanics",NA,"formalism of mechanics based on the least action principle","http://www.wikidata.org/entity/Q833065",FALSE,NA,FALSE,NA,6,"Q833065",TRUE
"145","de facto","De Facto",NA,"dub reggae band","http://www.wikidata.org/entity/Q3020156",FALSE,NA,FALSE,NA,6,"Q3020156",TRUE
"146","ethical culture","Ethical Culture Fieldston School",NA,"american school","http://www.wikidata.org/entity/Q5403378",FALSE,NA,FALSE,NA,6,"Q5403378",TRUE
"147","Ethical Culture","Ethical Culture Fieldston School",NA,"american school","http://www.wikidata.org/entity/Q5403378",FALSE,NA,FALSE,NA,6,"Q5403378",TRUE
"148","Experimental Physics","experimental physics",NA,"category of disciplines and sub-disciplines concerned with the observation of physical phenomena","http://www.wikidata.org/entity/Q18366",FALSE,NA,FALSE,NA,6,"Q18366",TRUE
"149","great mistake","Naval Station Great Lakes","Great Mistakes","naval training base for the United States Navy near Chicago, Illinois, USA","http://www.wikidata.org/entity/Q3337219",FALSE,NA,FALSE,NA,6,"Q3337219",TRUE
"150","Humanist Society","Humanist Society Scotland",NA,"organization","http://www.wikidata.org/entity/Q3143145",FALSE,NA,FALSE,NA,6,"Q3143145",TRUE
"151","Hungarian Empire","Kingdom of Hungary","Hungarian Empire","former Central European monarchy (1000–1946)","http://www.wikidata.org/entity/Q171150",FALSE,NA,FALSE,NA,6,"Q171150",TRUE
"152","ideal gas","ideal gas law",NA,"equation of state of a hypothetical ideal gas; approximation of the behavior of many gases under many conditions (although it has several limitations)","http://www.wikidata.org/entity/Q191785",FALSE,NA,FALSE,NA,6,"Q191785",TRUE
"153","linear transformations","linear map","linear transformation","mapping that preserves the operations of addition and scalar multiplication","http://www.wikidata.org/entity/Q207643",FALSE,NA,FALSE,NA,6,"Q207643",TRUE
"154","Lloyd George","Lloyd George",NA,"died 1974","http://www.wikidata.org/entity/Q75963446",FALSE,NA,FALSE,NA,6,"Q75963446",TRUE
"155","long walks","The Long Walk Home","Long Walk Home","1990 film by Richard Pearce","http://www.wikidata.org/entity/Q1199337",FALSE,NA,FALSE,NA,6,"Q1199337",TRUE
"156","my life","My Life",NA,"1993 American film by Bruce Joel Rubin","http://www.wikidata.org/entity/Q1676429",FALSE,NA,FALSE,NA,6,"Q1676429",TRUE
"157","naval officer","naval officer",NA,"commissioned officer serving in a navy","http://www.wikidata.org/entity/Q10669499",FALSE,NA,FALSE,NA,6,"Q10669499",TRUE
"158","patent office","Patent Office of the Republic of Latvia",NA,"organization","http://www.wikidata.org/entity/Q15712854",FALSE,NA,FALSE,NA,6,"Q15712854",TRUE
"159","Patent office","Patent Office of the Republic of Latvia",NA,"organization","http://www.wikidata.org/entity/Q15712854",FALSE,NA,FALSE,NA,6,"Q15712854",TRUE
"160","Patent Office","Patent Office of the Republic of Latvia",NA,"organization","http://www.wikidata.org/entity/Q15712854",FALSE,NA,FALSE,NA,6,"Q15712854",TRUE
