"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"13","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 January 2002","http://www.wikidata.org/entity/Q78771489",FALSE,NA,FALSE,NA,1,NA,FALSE
"14","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 October 1989","http://www.wikidata.org/entity/Q69537042",FALSE,NA,FALSE,NA,1,NA,FALSE
"15","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 August 1963","http://www.wikidata.org/entity/Q79671567",FALSE,NA,FALSE,NA,1,NA,FALSE
"16","absorption refrigerator","absorption refrigerator",NA,"Single pressure absorption refrigeration","http://www.wikidata.org/entity/Q332868",TRUE,"Q332868",FALSE,NA,2,"Q332868",TRUE
"17","Academic career","Academic career in medicine: requirements and conditions for successful advancement in Switzerland.",NA,"scientific article","http://www.wikidata.org/entity/Q33436409",FALSE,NA,FALSE,NA,2,"Q33436409",TRUE
"18","Academic career","Academic career after treatment for acute lymphoblastic leukaemia.",NA,"scientific article","http://www.wikidata.org/entity/Q35266424",FALSE,NA,FALSE,NA,1,NA,FALSE
"19","Academic career","Academic career selection in American emergency medicine residents.",NA,"scientific article published on October 2011","http://www.wikidata.org/entity/Q39694256",FALSE,NA,FALSE,NA,1,NA,FALSE
"20","Academic career","Academic careers in cardiovascular medicine.",NA,"scientific article published on February 2009","http://www.wikidata.org/entity/Q37388952",FALSE,NA,FALSE,NA,1,NA,FALSE
"21","Academic career","Academic careers in medical education: perceptions of the effects of a faculty development program.",NA,"scientific article published in October 1999","http://www.wikidata.org/entity/Q48664106",FALSE,NA,FALSE,NA,1,NA,FALSE
"22","Academic career","Academic career development in geriatric fellowship training.",NA,"scientific article published on 29 October 2007","http://www.wikidata.org/entity/Q48554476",FALSE,NA,FALSE,NA,1,NA,FALSE
"23","Academic career","Academic careers in general practice and primary care.",NA,"scientific article","http://www.wikidata.org/entity/Q40735715",FALSE,NA,FALSE,NA,1,NA,FALSE
"24","Academic career","Academic career development for emergency medicine residents: a road map.",NA,"scientific article published in May 2005","http://www.wikidata.org/entity/Q48343750",FALSE,NA,FALSE,NA,1,NA,FALSE
"25","Academic career","Academic careers and lifestyle characteristics of 171 transplant surgeons in the ASTS.",NA,"scientific article published on 10 January 2011","http://www.wikidata.org/entity/Q51518736",FALSE,NA,FALSE,NA,1,NA,FALSE
"26","Academic career","Academic career and part-time working in medicine: a cross sectional study.",NA,"scientific article published on 15 February 2013","http://www.wikidata.org/entity/Q47911615",FALSE,NA,FALSE,NA,1,NA,FALSE
"27","academic freedom","academic freedom",NA,"liberty","http://www.wikidata.org/entity/Q414706",FALSE,NA,FALSE,NA,9,"Q414706",TRUE
"28","academic freedom","Academic freedom",NA,"scientific article published on 01 August 1983","http://www.wikidata.org/entity/Q74764366",FALSE,NA,FALSE,NA,1,NA,FALSE
"29","academic freedom","Academic freedom",NA,"scientific article published on 01 August 1988","http://www.wikidata.org/entity/Q69922408",FALSE,NA,FALSE,NA,1,NA,FALSE
"30","academic freedom","Academic Freedom",NA,"journal article; published in Nature, 1971-12","http://www.wikidata.org/entity/Q74207755",FALSE,NA,FALSE,NA,2,NA,FALSE
"31","academic freedom","Academic Freedom",NA,NA,"http://www.wikidata.org/entity/Q60274417",FALSE,NA,FALSE,NA,2,NA,FALSE
"32","academic freedom","Academic freedom",NA,"journal article; published in Nature on 2011-11-01","http://www.wikidata.org/entity/Q71864446",FALSE,NA,FALSE,NA,2,NA,FALSE
"33","academic freedom","Academic Freedom",NA,NA,"http://www.wikidata.org/entity/Q60258698",FALSE,NA,FALSE,NA,2,NA,FALSE
"34","academic freedom","Academic Freedom",NA,NA,"http://www.wikidata.org/entity/Q58445679",FALSE,NA,FALSE,NA,1,NA,FALSE
"35","academic freedom","Academic freedom",NA,"scientific article published in Nature","http://www.wikidata.org/entity/Q58983716",FALSE,NA,FALSE,NA,2,NA,FALSE
"36","academic freedom","Academic freedom",NA,"scientific article published on 01 August 1976","http://www.wikidata.org/entity/Q66861530",FALSE,NA,FALSE,NA,1,NA,FALSE
"37","additional projects","Additional projections of the os calcis",NA,"scientific article published on 01 March 1956","http://www.wikidata.org/entity/Q73985403",FALSE,NA,FALSE,NA,1,"Q73985403",TRUE
"38","adiabatic invariance","Adiabatic invariance with first integrals of motion.",NA,"scientific article published in October 2002","http://www.wikidata.org/entity/Q47315381",FALSE,NA,FALSE,NA,1,"Q47315381",TRUE
"39","adiabatic invariant","adiabatic invariant",NA,NA,"http://www.wikidata.org/entity/Q2632009",TRUE,"Q2632009",FALSE,NA,0,NA,FALSE
"40","adiabatic invariant","Adiabatic invariants and scalar fields in a de Sitter space-time",NA,NA,"http://www.wikidata.org/entity/Q58917318",FALSE,NA,FALSE,NA,1,"Q58917318",TRUE
"41","adiabatic invariant","Adiabatic invariant treatment of a collapsing sphere of quantized dust",NA,NA,"http://www.wikidata.org/entity/Q58917313",FALSE,NA,FALSE,NA,1,NA,FALSE
"42","adiabatic invariant","Adiabatic Invariant Approach to Transverse Instability: Landau Dynamics of Soliton Filaments.",NA,"scientific article","http://www.wikidata.org/entity/Q54083934",FALSE,NA,FALSE,NA,1,NA,FALSE
"43","Adolf Hitler","Adolf Hitler",NA,"Führer and Reich Chancellor of Germany, Leader of the Nazi Party","http://www.wikidata.org/entity/Q352",TRUE,"Q352",FALSE,NA,143,"Q352",TRUE
"44","Adolf Hitler","Adolf Hitler",NA,"painting by Andrea Badami","http://www.wikidata.org/entity/Q20463000",FALSE,NA,FALSE,NA,1,NA,FALSE
"45","Adolf Hitler","Adolf Hitler",NA,"painting by Jerry Farnsworth","http://www.wikidata.org/entity/Q47510643",FALSE,NA,FALSE,NA,1,NA,FALSE
"46","Adolf Hitler","Adolf hitler",NA,"Axfss","http://www.wikidata.org/entity/Q5790052",FALSE,NA,FALSE,NA,2,NA,FALSE
"47","Adolf Hitler","Adolph","Adolf Hitler","computer virus","http://www.wikidata.org/entity/Q12626556",FALSE,NA,FALSE,NA,1,NA,FALSE
"48","Adolf Hitler","Adolf Hitler",NA,"edition; published in 1997","http://www.wikidata.org/entity/Q78526535",FALSE,NA,FALSE,NA,2,NA,FALSE
"49","Adolf Hitler","Adolf Hitler's rise to power",NA,"timeline of Adolf Hitler's rise to power","http://www.wikidata.org/entity/Q4684105",FALSE,NA,FALSE,NA,1,NA,FALSE
"50","Adolf Hitler","Adolf Hitler's Family Tree",NA,"book (1st edition) family tree Adolf Hitler","http://www.wikidata.org/entity/Q22262438",FALSE,NA,FALSE,NA,2,NA,FALSE
"51","Advanced Study","Advanced Study and Generalization of Rotation-Incidence-Plane Method",NA,"article published in 2014","http://www.wikidata.org/entity/Q66993184",FALSE,NA,FALSE,NA,1,NA,FALSE
"52","Advanced Study","Advanced Study at the University of Cambridge",NA,"scientific article published in Nature","http://www.wikidata.org/entity/Q60268853",FALSE,NA,FALSE,NA,2,"Q60268853",TRUE
"53","Advanced Study","Advanced Study in History",NA,NA,"http://www.wikidata.org/entity/Q58349741",FALSE,NA,FALSE,NA,1,NA,FALSE
"54","Advanced Study","ADVANCED STUDY FOR PSYCHIATRIC ADMINISTRATORS",NA,"scientific article published on 01 December 1964","http://www.wikidata.org/entity/Q77067323",FALSE,NA,FALSE,NA,1,NA,FALSE
"55","advisory board","advisory board",NA,"body providing strategic advice to an organisation","http://www.wikidata.org/entity/Q4686866",FALSE,NA,FALSE,NA,2,"Q4686866",TRUE
"56","advisory board","Advisory board",NA,"January 1974 article in The Journal of Imperial and Commonwealth History","http://www.wikidata.org/entity/Q58431625",FALSE,NA,FALSE,NA,1,NA,FALSE
"57","advisory board","Advisory Board of the Stability Council",NA,NA,"http://www.wikidata.org/entity/Q20850768",FALSE,NA,FALSE,NA,1,NA,FALSE
"58","advisory board","Advisory Board for Osteopathic Specialists and boards of certification",NA,"scientific article published on 01 February 1953","http://www.wikidata.org/entity/Q73100267",FALSE,NA,FALSE,NA,1,NA,FALSE
"59","advisory board","Advisory Board Files (NAID 5417274)",NA,"series in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q64187913",FALSE,NA,FALSE,NA,2,NA,FALSE
"60","advisory board","Advisory board of talanta",NA,"scientific article published on 01 March 1968","http://www.wikidata.org/entity/Q79721224",FALSE,NA,FALSE,NA,1,NA,FALSE
"61","advisory board","Advisory Board Records (NAID 2838730)",NA,"series in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q66247806",FALSE,NA,FALSE,NA,2,NA,FALSE
"62","advisory board","Advisory Board for the Research Councils",NA,"journal article; published in Nature on 1973-1","http://www.wikidata.org/entity/Q71896820",FALSE,NA,FALSE,NA,2,NA,FALSE
"63","advisory board","Advisory board success story",NA,"scientific article published on 01 December 1951","http://www.wikidata.org/entity/Q75891496",FALSE,NA,FALSE,NA,1,NA,FALSE
"64","advisory board","Advisory Board Reports, Correspondence, and Permits (NAID 4746118)",NA,"series in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q66222875",FALSE,NA,FALSE,NA,2,NA,FALSE
"65","affine connection","Affine connection",NA,"construct allowing differentiation of tangent vector fields of manifolds","http://www.wikidata.org/entity/Q1371213",FALSE,NA,FALSE,NA,1,"Q1371213",TRUE
"66","African Americans","African Americans",NA,"racial or ethnic group in the United States with African ancestry","http://www.wikidata.org/entity/Q49085",TRUE,"Q49085",FALSE,NA,13,"Q49085",TRUE
"67","African Americans","Civil Rights Movement","African American civil rights movement","social movement in the United States during the 20th century","http://www.wikidata.org/entity/Q48537",FALSE,NA,FALSE,NA,8,NA,FALSE
"68","African Americans","African Americans' views on research and the Tuskegee Syphilis Study.",NA,"scientific article published in March 2001","http://www.wikidata.org/entity/Q48686190",FALSE,NA,FALSE,NA,1,NA,FALSE
"69","African Americans","African American Vernacular English",NA,"non-standard variety of English spoken by most working- and middle-class African Americans and some Black Canadians","http://www.wikidata.org/entity/Q8002",FALSE,NA,FALSE,NA,7,NA,FALSE
"70","African Americans","African Americans in Science (1st edition)",NA,"edition","http://www.wikidata.org/entity/Q64493952",FALSE,NA,FALSE,NA,1,NA,FALSE
"71","African Americans","African Americans and high blood pressure: the role of stereotype threat.",NA,"scientific article","http://www.wikidata.org/entity/Q33953431",FALSE,NA,FALSE,NA,1,NA,FALSE
"72","African Americans","African Americans, 25-hydroxyvitamin D, and osteoporosis: a paradox",NA,"scientific article","http://www.wikidata.org/entity/Q24656150",FALSE,NA,FALSE,NA,1,NA,FALSE
"73","African Americans","African Americans and Caucasians have a similar prevalence of coronary calcium in the Dallas Heart Study.",NA,"scientific article","http://www.wikidata.org/entity/Q46186741",FALSE,NA,FALSE,NA,1,NA,FALSE
"74","African Americans","African Americans' participation in clinical research: importance, barriers, and solutions.",NA,"scientific article","http://www.wikidata.org/entity/Q46391930",FALSE,NA,FALSE,NA,1,NA,FALSE
"75","African Americans","African Americans and their distrust of the health care system: healthcare for diverse populations.",NA,"scientific article published on January 2007","http://www.wikidata.org/entity/Q37379122",FALSE,NA,FALSE,NA,1,NA,FALSE
"76","African Americans","African Americans show alterations in endogenous pain regulatory mechanisms and reduced pain tolerance to experimental pain procedures.",NA,"scientific article published in November 2005","http://www.wikidata.org/entity/Q46825120",FALSE,NA,FALSE,NA,1,NA,FALSE
"77","African Americans","African Americans with asthma: genetic insights",NA,"scientific article","http://www.wikidata.org/entity/Q24648561",FALSE,NA,FALSE,NA,1,NA,FALSE
"78","Albert Einstein","Albert Einstein",NA,"German-born physicist and founder of the theory of relativity","http://www.wikidata.org/entity/Q937",FALSE,NA,TRUE,"Q937",417,"Q937",TRUE
"79","Albert Einstein","Albert Einstein",NA,"Studio album by Prodigy and The Alchemist","http://www.wikidata.org/entity/Q13426745",FALSE,NA,FALSE,NA,1,NA,FALSE
"80","Albert Einstein","Albert Einstein",NA,"painting by Roy Andersen","http://www.wikidata.org/entity/Q47512878",FALSE,NA,FALSE,NA,1,NA,FALSE
"81","Albert Einstein","Albert Einstein",NA,"high school in Vimercate in the province of Monza-Brianza (Italy) [school id: MIIS10600B]","http://www.wikidata.org/entity/Q52846745",FALSE,NA,FALSE,NA,1,NA,FALSE
"82","Albert Einstein","Albert Einstein",NA,"painting by Max Westfield","http://www.wikidata.org/entity/Q47513150",FALSE,NA,FALSE,NA,1,NA,FALSE
"83","Albert Einstein","Albert Einstein",NA,"painting by Ernest Hamlin Baker","http://www.wikidata.org/entity/Q47512758",FALSE,NA,FALSE,NA,1,NA,FALSE
"84","Albert Einstein","Albert Einstein",NA,"technical institute in Vimercate in the province of Monza-Brianza (Italy) [school id: MITF106519]","http://www.wikidata.org/entity/Q52851646",FALSE,NA,FALSE,NA,1,NA,FALSE
"85","Albert Einstein","Albert Einstein",NA,"scientific lyceum in Cervignano Del Friuli in the province of Udine (Italy) [school id: UDPS01301R]","http://www.wikidata.org/entity/Q52816369",FALSE,NA,FALSE,NA,1,NA,FALSE
"86","Albert Einstein","Albert Einstein",NA,"technical institute in Vimercate in the province of Monza-Brianza (Italy) [school id: MITF10601X]","http://www.wikidata.org/entity/Q52804969",FALSE,NA,FALSE,NA,1,NA,FALSE
"87","Albert Einstein Archives","Albert Einstein Archives",NA,"archive with Einstein papers","http://www.wikidata.org/entity/Q22095877",TRUE,"Q22095877",TRUE,"Q22095877",4,"Q22095877",TRUE
"88","Albert Einstein Gymnasium","Albert Einstein Gymnasium",NA,"School in Hameln, Germany","http://www.wikidata.org/entity/Q1790085",FALSE,NA,FALSE,NA,5,"Q1790085",TRUE
"89","Albert Einstein Gymnasium","Albert Einstein Gymnasium Reutlingen",NA,"advanced secondary school in Reutlingen, Germany","http://www.wikidata.org/entity/Q15261457",FALSE,NA,FALSE,NA,5,NA,FALSE
"90","Alexis de","Alexis de Tocqueville",NA,"French political thinker and historian","http://www.wikidata.org/entity/Q140694",TRUE,"Q140694",FALSE,NA,99,"Q140694",TRUE
"91","Alexis de","Alexis Denisof",NA,"American actor","http://www.wikidata.org/entity/Q366322",FALSE,NA,FALSE,NA,36,NA,FALSE
"92","Alexis de","Alexis de Valon",NA,NA,"http://www.wikidata.org/entity/Q2834694",FALSE,NA,FALSE,NA,27,NA,FALSE
"93","Alexis de","Alexis de Chateauneuf",NA,"German architect and urban planner","http://www.wikidata.org/entity/Q78229",FALSE,NA,FALSE,NA,34,NA,FALSE
"94","Alexis de","Alexis Descatha",NA,"researcher","http://www.wikidata.org/entity/Q28039289",FALSE,NA,FALSE,NA,6,NA,FALSE
"95","Alexis de","Alexis de Castillon",NA,"French composer","http://www.wikidata.org/entity/Q357582",FALSE,NA,FALSE,NA,33,NA,FALSE
"96","Alexis de","Alexis de Rougemont",NA,"researcher","http://www.wikidata.org/entity/Q56843075",FALSE,NA,FALSE,NA,5,NA,FALSE
"97","Alexis de","Alexis Destoop",NA,NA,"http://www.wikidata.org/entity/Q52185465",FALSE,NA,FALSE,NA,9,NA,FALSE
"98","Alexis de","Alessio de Marchis","Alexis de Marchis","Landscape Painter","http://www.wikidata.org/entity/Q4716484",FALSE,NA,FALSE,NA,23,NA,FALSE
"99","Alexis de","Alexis Debut",NA,"researcher","http://www.wikidata.org/entity/Q50203939",FALSE,NA,FALSE,NA,6,NA,FALSE
"100","Alexis de Tocqueville","Alexis de Tocqueville",NA,"French political thinker and historian","http://www.wikidata.org/entity/Q140694",TRUE,"Q140694",FALSE,NA,99,"Q140694",TRUE
"101","Alexis de Tocqueville","Alexis de Tocqueville",NA,NA,"http://www.wikidata.org/entity/Q53100365",FALSE,NA,FALSE,NA,7,NA,FALSE
"102","Alexis de Tocqueville","Alexis de Tocqueville",NA,"painting by Théodore Chassériau, now in Versailles","http://www.wikidata.org/entity/Q71828504",FALSE,NA,FALSE,NA,3,NA,FALSE
"103","Alexis de Tocqueville","Alexis de Tocqueville and the abolition of slavery",NA,"article","http://www.wikidata.org/entity/Q58442849",FALSE,NA,FALSE,NA,1,NA,FALSE
"104","Alexis de Tocqueville","Alexis de Tocqueville Center for Political and Legal Thought",NA,"research thematic unit","http://www.wikidata.org/entity/Q4721555",FALSE,NA,FALSE,NA,0,NA,FALSE
"105","Alexis de Tocqueville","Alexis de Tocqueville Institution",NA,"American conservative think tank","http://www.wikidata.org/entity/Q4721554",FALSE,NA,FALSE,NA,4,NA,FALSE
"106","Alexis de Tocqueville","Alexis de Tocqueville: Selected letters on politics and society",NA,NA,"http://www.wikidata.org/entity/Q58361383",FALSE,NA,FALSE,NA,1,NA,FALSE
"107","Alexis de Tocqueville","Alexis de Tocqueville et la science politique au XIXe siècle",NA,"article published in the Revue des deux Mondes","http://www.wikidata.org/entity/Q17356748",FALSE,NA,FALSE,NA,1,NA,FALSE
"108","Alfonso XIII","Alfonso XIII of Spain",NA,"King of Spain","http://www.wikidata.org/entity/Q18363",TRUE,"Q18363",FALSE,NA,62,"Q18363",TRUE
"109","Alfonso XIII","Alfonso XIII",NA,"Madrid Metro station","http://www.wikidata.org/entity/Q2481187",FALSE,NA,FALSE,NA,3,NA,FALSE
"110","Alfonso XIII","Alfonso XIII",NA,NA,"http://www.wikidata.org/entity/Q52084113",FALSE,NA,FALSE,NA,3,NA,FALSE
"111","Alfonso XIII","Alfonso XIII Bridge",NA,"bridge over Júcar river","http://www.wikidata.org/entity/Q63226071",FALSE,NA,FALSE,NA,3,NA,FALSE
"112","Alfonso XIII","Alfonso XIII, King of Spain (1886-1931)",NA,"painting by José Cusachs y Cusachs","http://www.wikidata.org/entity/Q28034788",FALSE,NA,FALSE,NA,3,NA,FALSE
"113","Alfonso XIII","Habana (transatlantic)","Alfonso XIII (1920)","Spanish transatlantic passenger liner","http://www.wikidata.org/entity/Q63751688",FALSE,NA,FALSE,NA,1,NA,FALSE
"114","Alfonso XIII","Alfonso XIII Creek",NA,"river in the Philippines","http://www.wikidata.org/entity/Q32207533",FALSE,NA,FALSE,NA,1,NA,FALSE
"115","Alfonso XIII","Spanish battleship Alfonso XIII","Alfonso XIII",NA,"http://www.wikidata.org/entity/Q2621410",FALSE,NA,FALSE,NA,4,NA,FALSE
"116","Alfonso XIII","Alfonso XIII, avenida de",NA,NA,"http://www.wikidata.org/entity/Q29397736",FALSE,NA,FALSE,NA,2,NA,FALSE
"117","Alfred Einstein","Alfred Einstein",NA,"German-American musicologist and music editor","http://www.wikidata.org/entity/Q60197",TRUE,"Q60197",FALSE,NA,62,"Q60197",TRUE
"118","Alfred Einstein","ALFRED EINSTEIN COHN",NA,"scientific article published on 01 September 1957","http://www.wikidata.org/entity/Q74610251",FALSE,NA,FALSE,NA,1,NA,FALSE
"119","Alfred Einstein","Alfred Einstein Cohn; 1879-1957.",NA,"scientific article published in January 1958","http://www.wikidata.org/entity/Q52495870",FALSE,NA,FALSE,NA,1,NA,FALSE
"120","Alfred Kleiner","Alfred Kleiner",NA,"Swiss physicist (1849-1916)","http://www.wikidata.org/entity/Q4175282",TRUE,"Q4175282",TRUE,"Q4175282",31,"Q4175282",TRUE
"121","Alfred Kleiner","Alfred Kleiner",NA,NA,"http://www.wikidata.org/entity/Q72062331",FALSE,NA,FALSE,NA,9,NA,FALSE
"122","Alfred Kleiner","Alfred Kleinermeilert",NA,"German priest and theologian","http://www.wikidata.org/entity/Q91816",FALSE,NA,FALSE,NA,17,NA,FALSE
"123","Alfred Kleiner","Paul Alfred Kleinert","Alfred Kleinert","German writer","http://www.wikidata.org/entity/Q102522",FALSE,NA,FALSE,NA,21,NA,FALSE
"124","Alfred Nobel","Alfred Nobel",NA,"Swedish chemist, innovator, and armaments manufacturer","http://www.wikidata.org/entity/Q23810",TRUE,"Q23810",FALSE,NA,85,"Q23810",TRUE
"125","Alfred Nobel","Alfred Nobel",NA,"horse","http://www.wikidata.org/entity/Q18236602",FALSE,NA,FALSE,NA,4,NA,FALSE
"126","Alfred Nobel","Alfred Nobel",NA,"train service","http://www.wikidata.org/entity/Q2047706",FALSE,NA,FALSE,NA,1,NA,FALSE
"127","Alfred Nobel","Alfred Nobel",NA,"scientific article published in Nature","http://www.wikidata.org/entity/Q59017243",FALSE,NA,FALSE,NA,2,NA,FALSE
"128","Alfred Nobel","Alfred Nobel University",NA,NA,"http://www.wikidata.org/entity/Q4163246",FALSE,NA,FALSE,NA,7,NA,FALSE
"129","Alfred Nobel","Alfred Nobel University Publisher",NA,"Academic publisher based in Ukraine","http://www.wikidata.org/entity/Q52636977",FALSE,NA,FALSE,NA,2,NA,FALSE
"130","Alfred Nobel","Alfred Nobelstraat",NA,"street in Bleiswijk, the Netherlands","http://www.wikidata.org/entity/Q18936397",FALSE,NA,FALSE,NA,1,NA,FALSE
"131","Alfred Nobel","Alfred Nobel's will and the Nobel Prize to Karl Landsteiner for his discovery of human blood groups.",NA,"scientific article published on 27 February 2008","http://www.wikidata.org/entity/Q48324040",FALSE,NA,FALSE,NA,1,NA,FALSE
"132","Alfred Nobel","Alfred Nobel--his life and work.",NA,"scientific article published in December 2001","http://www.wikidata.org/entity/Q48365628",FALSE,NA,FALSE,NA,1,NA,FALSE
"133","Alfred Nobel","Alfred Nobel and the drug hunters.",NA,"scientific article published on December 1988","http://www.wikidata.org/entity/Q42876769",FALSE,NA,FALSE,NA,1,NA,FALSE
"134","Allin Cornell","Eric Allin Cornell","Allin Cornell","American physicist","http://www.wikidata.org/entity/Q205954",TRUE,"Q205954",FALSE,NA,45,"Q205954",TRUE
"135","alma mater","alma mater",NA,"school or university that a person has attended","http://www.wikidata.org/entity/Q174376",FALSE,NA,FALSE,NA,6,"Q174376",TRUE
"136","alma mater","school song","alma mater","the patronal song of a school","http://www.wikidata.org/entity/Q844450",FALSE,NA,FALSE,NA,3,NA,FALSE
"137","alma mater","Alma Mater",NA,"painting by Edvard Munch (1929)","http://www.wikidata.org/entity/Q18889313",FALSE,NA,FALSE,NA,2,NA,FALSE
"138","alma mater","Alma Mater",NA,"painting by Edvard Munch (1914)","http://www.wikidata.org/entity/Q18889307",FALSE,NA,FALSE,NA,2,NA,FALSE
"139","alma mater","Alma Mater",NA,"painting by Edvard Munch (1912 - 1)","http://www.wikidata.org/entity/Q18889304",FALSE,NA,FALSE,NA,2,NA,FALSE
"140","alma mater","Alma Mater",NA,"painting by Edvard Munch (1912 - 2)","http://www.wikidata.org/entity/Q18889306",FALSE,NA,FALSE,NA,2,NA,FALSE
"141","alma mater","Alma Mater",NA,"painting by Edvard Munch (1920 - 1)","http://www.wikidata.org/entity/Q18889310",FALSE,NA,FALSE,NA,2,NA,FALSE
"142","alma mater","Alma Mater",NA,"painting by Edvard Munch (1940)","http://www.wikidata.org/entity/Q18889314",FALSE,NA,FALSE,NA,2,NA,FALSE
"143","alma mater","Alma Mater",NA,"painting by Edvard Munch (1920 - 2)","http://www.wikidata.org/entity/Q18889311",FALSE,NA,FALSE,NA,2,NA,FALSE
"144","American citizen","An American Citizen","American Citizen","1914 film by J. Searle Dawley","http://www.wikidata.org/entity/Q2085303",FALSE,NA,FALSE,NA,5,"Q2085303",TRUE
"145","American citizen","American Citizen",NA,"1992 film by Eitan Green","http://www.wikidata.org/entity/Q12403646",FALSE,NA,FALSE,NA,3,NA,FALSE
"146","American citizen","American Citizen",NA,"newspaper in New York City, New York","http://www.wikidata.org/entity/Q16961303",FALSE,NA,FALSE,NA,1,NA,FALSE
"147","American citizen","American Citizens Concerned for Life, Inc. Records (NAID 641873)",NA,"collection in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q59495229",FALSE,NA,FALSE,NA,2,NA,FALSE
"148","American citizen","American Citizens' Views of an Ideal Pig Farm.",NA,"scientific article","http://www.wikidata.org/entity/Q38614406",FALSE,NA,FALSE,NA,1,NA,FALSE
"149","American citizen","American Citizens Abroad",NA,NA,"http://www.wikidata.org/entity/Q4743399",FALSE,NA,FALSE,NA,0,NA,FALSE
"150","American culture","culture of the United States","American culture","culture of an area","http://www.wikidata.org/entity/Q1044835",FALSE,NA,FALSE,NA,5,"Q1044835",TRUE
"151","American culture","American culture and euthanasia. The changing definition of a ""good death""",NA,"scientific article published on 01 December 1991","http://www.wikidata.org/entity/Q74728834",FALSE,NA,FALSE,NA,1,NA,FALSE
"152","American culture","American culture and neuro-cognitive enhancing drugs.",NA,"scientific article published in January 2010","http://www.wikidata.org/entity/Q45949666",FALSE,NA,FALSE,NA,1,NA,FALSE
"153","American universities","American University",NA,"private liberal arts and research-based university in Washington, D.C.","http://www.wikidata.org/entity/Q168000",FALSE,NA,FALSE,NA,17,NA,FALSE
"154","American universities","American University of Beirut",NA,"private university in Lebanon","http://www.wikidata.org/entity/Q469482",FALSE,NA,FALSE,NA,20,"Q469482",TRUE
"155","American universities","The American University in Cairo","American University in Cairo","independent English-language research university in Cairo, Egypt","http://www.wikidata.org/entity/Q469476",FALSE,NA,FALSE,NA,14,NA,FALSE
"156","American universities","American University of Paris",NA,NA,"http://www.wikidata.org/entity/Q2716043",FALSE,NA,FALSE,NA,11,NA,FALSE
"157","American universities","American University of Armenia",NA,"university","http://www.wikidata.org/entity/Q467164",FALSE,NA,FALSE,NA,8,NA,FALSE
"158","American universities","Washington College of Law","American University Washington College of Law","law school","http://www.wikidata.org/entity/Q167049",FALSE,NA,FALSE,NA,9,NA,FALSE
